epoch;acc;loss;lr;val_acc;val_loss
0;0.350041666981;2.33370523095;1e-05;0.315833336115;2.10360534191
1;0.50887500003;1.51354209125;1e-05;0.541666662693;1.29720983505
2;0.559374999404;1.31173138857;1e-05;0.575;1.1151953578
3;0.589041666538;1.2106941998;1e-05;0.645000004768;1.02039863467
4;0.618708332479;1.11169717401;1e-05;0.704166662693;0.926530742645
5;0.633624999523;1.05407474428;1e-05;0.710000002384;0.881859523058
6;0.655166668892;0.997217278183;1e-05;0.690833330154;0.820694762468
7;0.662958336174;0.967904099226;1e-05;0.689166676998;0.861995327473
8;0.683833332956;0.914024438262;1e-05;0.703333330154;0.824132627249
9;0.686541667283;0.886972996891;1e-05;0.710833323002;0.787082338333
10;0.696916668117;0.867837767303;1e-05;0.736666667461;0.765254938602
11;0.706833332181;0.839093205333;1e-05;0.690000009537;0.917172086239
12;0.711833333373;0.819702331722;1e-05;0.738333332539;0.745567876101
13;0.715958332717;0.793273843527;1e-05;0.705000001192;0.863834679127
14;0.724791666865;0.775072195232;1e-05;0.702500003576;0.924295598269
15;0.729874998331;0.7524126333;1e-05;0.732500004768;0.718815779686
16;0.733541664183;0.739208257794;1e-05;0.7375;0.748272550106
17;0.738583332896;0.729009662569;1e-05;0.747499996424;0.772830921412
18;0.744666667581;0.70278423816;1e-05;0.764166659117;0.685506999493
19;0.749041668475;0.699533227235;1e-05;0.784999990463;0.660732883215
20;0.749833334088;0.696429105252;1e-05;0.768333339691;0.658378303051
21;0.760708334446;0.664200567305;1e-05;0.731666654348;0.760524326563
22;0.764333334863;0.65440265581;1e-05;0.77499999404;0.681244158745
23;0.766125000715;0.643634005338;1e-05;0.758333337307;0.688154447079
24;0.769000003338;0.637264459282;1e-05;0.752499997616;0.688669741154
25;0.771875002384;0.622661319375;1e-05;0.722499990463;0.808983957767
26;0.777208335102;0.615093207359;1e-05;0.745000004768;0.703487288952
27;0.780916668475;0.603041356206;1e-05;0.759166669846;0.7391282022
28;0.7820416677;0.60029401511;1e-05;0.807500004768;0.582509148121
29;0.781958334148;0.603808180541;1e-05;0.772500002384;0.628085803986
30;0.783125001192;0.59152838707;1e-05;0.776666665077;0.678625422716
31;0.790666666925;0.578749298304;1e-05;0.757499992847;0.642045408487
32;0.792416665852;0.573480067849;1e-05;0.810000002384;0.589906638861
33;0.794500000477;0.565414341241;1e-05;0.786666667461;0.584443238378
34;0.797916666567;0.554080601037;1e-05;0.750833326578;0.708137613535
35;0.797875000536;0.552417263836;1e-05;0.816666662693;0.534672906995
36;0.800000000596;0.544715233892;1e-05;0.767499995232;0.650907436013
37;0.802999998629;0.53681460008;1e-05;0.774166661501;0.65153657198
38;0.805;0.534371285439;1e-05;0.799166667461;0.582959932089
39;0.806958333254;0.531847627312;1e-05;0.791666662693;0.576428079605
40;0.810374999344;0.524242643267;1e-05;0.703333330154;1.02690762877
41;0.810624998212;0.516891200989;1e-05;0.765000003576;0.625535356998
42;0.814166668952;0.514611366987;1e-05;0.729166668653;0.802088916302
43;0.813166665435;0.513694138676;1e-05;0.776666659117;0.584959673882
44;0.817541666925;0.497986825407;1e-05;0.753333330154;0.674146324396
45;0.821083334386;0.502079984993;1e-05;0.791666662693;0.571207568049
46;0.820791665912;0.485089560449;1e-05;0.790833342075;0.617707902193
47;0.821958331466;0.490059824437;1e-05;0.759166669846;0.691914647818
48;0.8232916677;0.485448780954;1e-05;0.821666663885;0.554533338547
49;0.824583331048;0.482032389194;1e-05;0.73083332181;0.829292815924
50;0.825250000954;0.480328066647;1e-05;0.803333336115;0.515400701761
51;0.825874999464;0.473364692926;1e-05;0.786666667461;0.59809986949
52;0.830166664422;0.464828653634;1e-05;0.765833330154;0.631460058689
53;0.82641666472;0.474668473899;1e-05;0.823333334923;0.482099115849
54;0.828458330929;0.467373457402;1e-05;0.841666668653;0.476647120714
55;0.832708332837;0.466398209929;1e-05;0.826666665077;0.504878428578
56;0.834166665375;0.451357634217;1e-05;0.829166662693;0.469452726841
57;0.837500000298;0.457199098468;1e-05;0.789166676998;0.561750528216
58;0.838624997735;0.453926452249;1e-05;0.789166676998;0.572231629491
59;0.835124996901;0.45016036272;1e-05;0.726666665077;0.938761585951
60;0.841916663051;0.439871830046;1e-05;0.80583332777;0.529136905074
61;0.839166666567;0.439974099249;1e-05;0.746666663885;0.802509623766
62;0.841249999702;0.435477562547;1e-05;0.783333331347;0.606656077504
63;0.844374999404;0.429224554524;1e-05;0.827499991655;0.505136790872
64;0.84312500149;0.429612502456;1e-05;0.780000007153;0.606550994515
65;0.846583331823;0.420642760992;1e-05;0.840000003576;0.499221429229
66;0.84895833075;0.418163246885;1e-05;0.790000015497;0.566493907571
67;0.850541664958;0.415772763789;1e-05;0.761666661501;0.75899848938
68;0.848124997914;0.415817870796;1e-05;0.719999998808;1.02407324314
69;0.851541665494;0.412030816004;1e-05;0.823333334923;0.521168088913
70;0.847999997437;0.417719056606;1e-05;0.758333331347;0.759158968925
71;0.848999998271;0.414491895884;1e-05;0.794999998808;0.584902346134
72;0.854499999881;0.402361053973;1e-05;0.778333336115;0.60423617363
73;0.858749997616;0.391631049812;1e-05;0.778333336115;0.639306098223
74;0.858666667044;0.395381266624;1e-05;0.710833334923;1.0852031827
75;0.857208333313;0.397519913688;1e-05;0.778333330154;0.622176596522
76;0.856375001669;0.394377775639;1e-05;0.834166669846;0.508456224203
77;0.86179166913;0.387990733162;1e-05;0.714166659117;1.08291013837
78;0.863666665554;0.378238991052;1e-05;0.790833324194;0.552223476768
79;0.860583332181;0.385368395671;1e-05;0.829999995232;0.510497877002
80;0.856666665375;0.389793496132;1e-05;0.734999996424;1.02208909392
81;0.862958332896;0.383055713251;1e-05;0.718333339691;0.998352336884
82;0.861958331764;0.381990455687;1e-05;0.823333340883;0.477646839619
83;0.86545833081;0.373027566224;1e-05;0.78833334446;0.6983332932
84;0.864999998212;0.368561563864;1e-05;0.753333336115;0.701299977303
85;0.865291668177;0.370120675564;1e-05;0.815833342075;0.514789447188
86;0.869416665733;0.36891816102;1e-05;0.81249999404;0.572439166903
87;0.870458329916;0.360179204792;1e-05;0.807500004768;0.553063172102
