epoch;acc;loss;val_acc;val_loss
0;0.259375;54.9787361145;0.25;55.8574134827
0;0.253125;55.2004695892;0.25;56.2534614563
0;0.265625;54.7137172699;0.25;55.5773223877
0;0.246875;55.1292102814;0.25;55.1342323303
1;0.25;53.7278957367;0.25;51.7688186646
2;0.25;49.9549514771;0.25;47.70102005
0;0.2796875;46.3124130249;0.440625;45.7995109558
1;0.31875;46.1252540588;0.45625;45.7750701904
2;0.3375;46.0179244995;0.45625;45.7526229858
0;0.2703125;54.5550460815;0.25;55.0828308105
1;0.25;53.733562851;0.25;51.8360305786
2;0.25;50.0513431549;0.25;47.8217224121
0;0.296875;46.1638702393;0.184375;45.8198692322
1;0.3046875;46.1184398651;0.18125;45.8126724243
2;0.33125;45.974225235;0.265625;45.79529953
